,Section_Name,Content,Section_Number
10,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"Please maintain a copy of this amendment with your protocol. Please provide a copy to  your Investigational Review Board / Ethics Committee, unless agreed otherwise with BMS.",
11,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"  Page: 1 Protocol Number: CA204116 IND Number: N/A EUDRACT Number N/A Date: 16-Feb-2017  Protocol CA204116: A Phase 2, Randomized, Open Label Trial of  Lenalidomide/dexamethasone With or Without Elotuzumab in Subjects with Previously  Untreated Multiple Myeloma in Japan Amendment Number 03 Site Number: All Study Director Medical Monitor Su Tien Nguyen Bristol-Myers Squibb Research and Development This protocol amendment contains information that is confidential and proprietary to  Bristol-Myers Squibb (BMS).",
12,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,This amendment must be maintained with the referenced protocol.,
13,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"   Amendment Rationale: The main purpose of this amendment is to change the following points: Change Progression Free Survival (PFS) to a secondary endpoint from an exploratory  endpoint, due to the extended study duration. The longer follow up duration of the study is  expected to accumulate mature PFS events.  Introduce the timing of an additional analysis and the final analysis due to the extended study  duration.",
14,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"Changes to the Protocol: 1. Synopsis, Secondary Objectives and Protocol Section 1.3.2, Secondary Objectives: To assess  Progression Free Survival (PFS) in each arm was added. 2. Synopsis, Exploratory Objectives and Protocol Section 1.3.3, Exploratory Objectives: To  assess Progression Free Survival (PFS) in each arm was removed. 3. Synopsis, Analysis, Secondary Endpoints and Section 8.4.2.2, Secondary Efficacy Analysis:  Added the PFS analyses. 4. Section 8.3.2.1, Obejective Response Rate: Added new section for ORR. 5. Section 8.3.2.2, Progression-Free Survival: Added new section regarding the primary  definition of PFS. 6. Section 8.3.3, Exploratory Endpoint(s): Removed Section 8.3.3.2 Progression Free Survival. 7. Section 8.4.2.3, Exploratory Efficacy Analysis: Removed the PFS analyses. 8. Section 8.5, Interim Analysis: Added the timing of an additional analysis and the final analysis.",
15,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,"Please maintain a copy of this amendment with your protocol. Please provide a copy to  your Investigational Review Board / Ethics Committee, unless agreed otherwise with BMS.",
16,APPENDIX 1 INTERNATIONAL STAGING SYSTEM,,
17,APPENDIX 3 PREPARATION AND ADMINISTRATION OF ELOTUZUMAB,  87 87 87 88 88 88 88 88 88 89 89 89 89 89 90 90 91 92 93 96 99 100 101    ,
18,Figure 3.1-1: Study Design Schematic,"A cycle is defined as 28 days. Treatment with study drug continues until disease progression (PD), unacceptable toxicity or subject meets other criteria for discontinuation of study drug outlined in Section 3.5 .",
19,Figure 3.1-1: Study Design Schematic,"Disease assessments, based on the IMWG response criteria, will be conducted every 4 weeks  relative to the first dose of study medication until disease progression. Response and progression  assessment will be investigator-based and no central lab or independent review is planned.",
20,Figure 3.1-1: Study Design Schematic,"For the subject who does not have documented disease progression at time of study drug  discontinuation, tumor assessments should still be performed according to the same schedule  until disease progression even if a subsequent anti-myeloma treatment is initiated prior to disease  progression.",
21,SYNOPSIS,Clinical Protocol CA204116 ,
22,TABLE OF CONTENTS,TITLE PAGE ................................................................................................................  DOCUMENT HISTORY ..............................................................................................  SYNOPSIS ....................................................................................................................  TABLE OF CONTENTS ..............................................................................................  1 INTRODUCTION AND STUDY RATIONALE .....................................................  1.1 Study Rationale .................................................................................................  1.1.1 Unmet Medical Needs in Multiple Myeloma ...........................................  1.1.2 Non-clinical Rationale for Elotuzumab in Combination with  Lenalidomide and Dexamethasone .............................................................  1.1.2.1 Elotuzumab .....................................................................................  1.1.2.2 Combination of Elotuzumab with Lenalidomide/dexamethasone ...  1.2 Research Hypothesis .........................................................................................  1.3 Objectives(s) .....................................................................................................  1.3.1 Primary Objectives ..................................................................................  1.3.2 Secondary Objectives ...............................................................................  1.3.3 Exploratory Objectives ............................................................................  1.4 Product Development Background ...................................................................  1.4.1 Non-clinical Toxicology ...........................................................................  1.4.2 Clinical Experience with Elotuzumab in Multiple Myeloma ...................  1.4.2.1 Non-Japanese Clinical Study Results .............................................  1.4.2.2 Japanese Clinical Trial Results ......................................................  1.4.2.3 Infusion Reactions ...........................................................................  1.4.2.4 Clinical Pharmacokinetics ..............................................................  1.4.3 Rationale of Selection of Dosage and Administration in this Study ........  1.4.3.1 Elotuzumab Dosing .........................................................................  1.4.3.2 Elotuzumab Infusion Rate ...............................................................  1.4.4 Rationale for Study Design ......................................................................  1.4.4.1 Rationale for Treating with Ld Until Progression ..........................  1.4.4.2 Population of Untreated Subjects Ineligible for SCT .....................  1.4.5 Rationale for Inclusion of Subjects with Mild to Moderate Renal  Impairment ..................................................................................................  1.5 Overall Risk/Benefit Assessment .....................................................................  2 ETHICAL CONSIDERATIONS ...............................................................................  2.1 Good Clinical Practice ......................................................................................  2.2 Institutional Review Board ...............................................................................  2.3 Informed Consent..............................................................................................  3 INVESTIGATIONAL PLAN ....................................................................................  3.1 Study Design and Duration ...............................................................................  3.2 Post Study Access to Study...............................................................................  3.3 Study Population ...............................................................................................  3.3.1 Inclusion Criteria .....................................................................................  3.3.2 Exclusion Criteria ....................................................................................  3.3.3 Women of Childbearing Potential ...........................................................  3.4 Concomitant Treatments ...................................................................................,
23,TABLE OF CONTENTS," 1 3 4 8 12 12 12 12 12 13 14 14 14 14 14 14 14 15 15 19 20 21 22 22 25 27 27 29 29 30 31 31 32 32 33 33 34 35 35 38 40 41   3.4.1 Required ...................................................................................................  3.4.2 Permitted at Investigators Discretion .....................................................  3.4.3 Prohibited and/or Restricted Treatments.................................................  3.4.4 Surgery and Radiation .............................................................................  3.5 Discontinuation of Subjects followings any Treatment with Study Drug ........  3.6 Post Study Drug Study Follow up ....................................................................  3.6.1 Withdrawal of Consent ............................................................................  3.6.2 Lost to Follow-Up ....................................................................................  4 STUDY DRUG ..........................................................................................................  4.1 Investigational Product .....................................................................................  4.2 Non-investigational Product .............................................................................  4.3 Storage and Dispensing.....................................................................................  4.3.1 Elotuzumab ..............................................................................................  4.3.2 Lenalidomide............................................................................................  4.4 Method of Assigning Subject Identification .....................................................  4.5 Selection and Timing of Dose for Each Subject ...............................................  4.5.1 Study Drug Administration ......................................................................  4.5.1.1 Premedication Regimen in Subjects Without a Prior Infusion  Reaction ................................................................................................  4.5.1.2 Premedication Regimen in Subjects With a Prior Infusion Reaction ...............................................................................................................  4.5.2 Guidelines for Elotuzumab Infusion in Subjects with Infusion Reactions .....................................................................................................................  4.5.2.1 Grade 1 Infusion Reaction ..............................................................  4.5.2.2 Grade 2 Infusion Reaction ...........................................................  4.5.3 Dose Delay or Interruption ......................................................................  4.5.3.1 Elotuzumab .....................................................................................  4.5.3.2 Dexamethasone ...............................................................................  4.5.3.3 Lenalidomide...................................................................................  4.5.4 Recommended Dose Reductions ..............................................................  4.5.4.1 Elotuzumab .....................................................................................  4.5.4.2 Dexamethasone ...............................................................................  4.5.4.3 Lenalidomide...................................................................................  4.6 Blinding/Unblinding .........................................................................................  4.7 Treatment Compliance ......................................................................................  4.8 Destruction of Study Drug ................................................................................  4.9 Return of Study Drug ........................................................................................  5 STUDY ASSESSMENTS AND PROCEDURES .....................................................  5.1 Flow Chart/Time and Events Schedule .............................................................  5.2 Retesting During Screening or Lead-in Period .................................................  5.3 Study Materials .................................................................................................  5.4 Safety Assessments ...........................................................................................  5.4.1 Vital Signs, Physical Measurements, and Physical Examination ............  5.4.2 Performance Status ..................................................................................  5.4.3 Echocardiogram or MUGA scan and Electrocardiogram ......................  5.4.4 Laboratory Assessments for Safety ..........................................................",
24,TABLE OF CONTENTS, 41 41 42 42 42 43 43 44 44 46 46 46 46 47 47 48 48 50 50 51 51 51 52 53 53 53 53 53 53 55 57 57 57 57 59 59 69 69 69 69 70 70 70   5.5 Efficacy Assessments ........................................................................................  5.5.1 Primary and Secondary Efficacy Assessment ..........................................  5.5.2 Laboratory Assessments for Myeloma .....................................................  5.5.3 Imaging Assessments for Myeloma ..........................................................  5.5.3.1 Skeletal Survey ................................................................................  5.5.3.2 Assessment of Extramedullary Plasmacytoma................................  5.5.4 Definitions of Response Based on IMWG ................................................  5.6 Pharmacokinetic Assessments ..........................................................................  5.7 Biomarker Assessments ....................................................................................  ..........................................................................  5.8 Outcomes Research Assessments .....................................................................  5.9 Other Assessments ............................................................................................  5.10 Results of Central Assessments ......................................................................  6 ADVERSE EVENTS .................................................................................................  6.1 Serious Adverse Events ....................................................................................  6.1.1 Serious Adverse Event Collection and Reporting ....................................  6.2 Nonserious Adverse Events ..............................................................................  6.2.1 Nonserious Adverse Event Collection and Reporting ..............................  6.3 Laboratory Test Result Abnormalities ..............................................................  6.4 Pregnancy ..........................................................................................................  6.5 Overdose ...........................................................................................................  6.6 Potential Drug Induced Liver Injury (DILI) .....................................................  6.7 Other Safety Considerations .............................................................................  7 DATA MONITORING COMMITTEE AND OTHER EXTERNAL COMMITTEES .................................................................................................................................  8 STATISTICAL CONSIDERATIONS.......................................................................  8.1 Sample Size Determination ...............................................................................  8.2 Populations for Analyses ..................................................................................  8.3 Endpoints ..........................................................................................................  8.3.1 Primary Endpoint(s) ................................................................................  8.3.2 Secondary Endpoint(s) .............................................................................  8.3.2.1 Objective Response Rate .................................................................  8.3.2.2 Progression-Free Survival ..............................................................  8.3.3 Exploratory Endpoint(s) ..........................................................................  8.3.3.1 Safety ...............................................................................................  8.3.3.2 Time to Response and Duration of Response .................................  8.3.3.3 Immunogenicity Endpoints ..............................................................  8.4 Analyses ............................................................................................................  8.4.1 Demographics and Baseline Characteristics...........................................  8.4.2 Efficacy Analyses .....................................................................................  8.4.2.1 Primary Efficacy Analysis...............................................................  8.4.2.2 Secondary Efficacy Analysis ...........................................................  8.4.2.3 Exploratory Efficacy Analysis .........................................................  8.4.3 Safety Analyses.........................................................................................  8.4.4 Pharmacokinetic Analyses .......................................................................,
25,TABLE OF CONTENTS, 72 72 73 74 74 75 76 78 79 79 79 79 80 80 80 80 81 82 82 83 83 84 84 84 84 84 84 85 85 85 85 85 85 86 86 86 86 86 86 86 86 87 87 87 87   8.4.5 Biomarker Analyses .................................................................................  .............................................................................  ................................................................  8.4.6 Outcomes Research Analyses ..................................................................  8.4.7 Other Analyses .........................................................................................  8.5 Interim Analyses ...............................................................................................  9 STUDY MANAGEMENT ........................................................................................  9.1 Compliance .......................................................................................................  9.1.1 Compliance with the Protocol and Protocol Revisions ...........................  9.1.2 Monitoring ...............................................................................................  9.1.2.1 Source Documentation ....................................................................  9.1.3 Investigational Site Training....................................................................  9.2 Records .............................................................................................................  9.2.1 Records Retention ....................................................................................  9.2.2 Study Drug Records .................................................................................  9.2.3 Case Report Forms ..................................................................................  9.3 Clinical Study Report and Publications ............................................................  10 GLOSSARY OF TERMS ........................................................................................  11 LIST OF ABBREVIATIONS ..................................................................................  12 REFERENCES ........................................................................................................  APPENDIX 1 INTERNATIONAL STAGING SYSTEM ...........................................  APPENDIX 2 PERFORMANCE STATUS SCALES .................................................,
26,Table 4-1: Study Drugs for CA204116 Treatment Period,   ,
27,Table 4.5.1-1: Treatment Schedule,    ,
28,Table 4.5.1.2-1: Corticosteroid Premedication,"   If a subject with a prior Grade 2 - 3 infusion reaction also requires dose reduction of  dexamethasone, the weekly dexamethasone on the days of elotuzumab infusion should be no  lower than 8 mg IV (on the day of elotuzumab infusion at least 45 minutes prior to elotuzumab).",
29,Table 4.5.1.2-1: Corticosteroid Premedication,"The oral portion of dexamethasone may be split between the day prior and day of infusion as this  may further reduce the incidence of infusion reactions. For example, for subjects with only a  prior Grade 1 infusion reaction, the following split dose may be given: 12 mg dexamethasone po  (12 - 24 hours prior to elotuzumab) AND 16 mg dexamethasone po (at least 3 hours prior to  elotuzumab) AND 8 mg IV dexamethasone at least 60 minutes prior to elotuzumab.",
30,Table 4.5.1.2-1: Corticosteroid Premedication,Subjects with Grade 4 infusion reaction are not eligible to receive additional elotuzumab. These  subjects should still continue to receive lenalidomide and dexamethasone.,
31,Table 4.5.4.2-1: Dexamethasone Dose Reductions,  Dose reduction for persistent Grade 2 or Grade 3 AEs believed to be related to dexamethasone  and not listed above are permitted. Dose reductions should follow guidance in Table 4.5.4.2-1 and Table 4.5.4.2-2 .,
32,Table 4.5.4.2-1: Dexamethasone Dose Reductions,"For subjects receiving elotuzumab, regardless of dexamethasone dose reduction, at least 8 mg of  the weekly dexamethasone dose must be administered IV as part of the premedication for  elotuzumab with the remainder of the weekly dexamethasone dose administered orally as  described in Section 4.5.1 . Contact the medical monitor to discuss dexamethasone IV  premedication for subjects in the investigational arm who reach dose level -3 and must  discontinue oral dexamethasone due to dose limiting toxicity.",
33,Table 4.5.4.2-1: Dexamethasone Dose Reductions,"   On weeks without elotuzumab, no IV dexamethasone should be administered.",
34,Table 4.5.4.2-2: Dexamethasone Dose Levels, ,
35,Table 4.5.4.3-1: Treating Thrombocytopenia Related to Lenalidomide,       ,
36,Table 4.5.4.3-2: Treating Neutropenia Related to Lenalidomide,"     Lenalidomide Dose Adjustments in Subjects with Renal Impairment Since lenalidomide is primarily excreted via the kidney, adjustments to the dose of lenalidomide  are provided based on the lenalidomide country prescribing information. The regimen of 21-day  dosing every 28 days remains the same despite the dose reductions described below.",
37,Table 4.5.4.3-3: Lenalidomide Dose Adjustments in Subjects with Renal Impairment,"  Dose Adjustments During Treatment for Other Grade 3 and 4 Toxicities Angioedema, Grade 4 rash, exfoliative or bullous rash, Stevens-Johnson syndrome or toxic  epidermal necrolysis requires permanent discontinuation of lenalidomide. For Grade 2 - 3 skin  rash judged to be related to lenalidomide interruption or discontinuation should be considered.",
38,Table 4.5.4.3-3: Lenalidomide Dose Adjustments in Subjects with Renal Impairment,"For other Grade 3 and 4 toxicities judged to be related to lenalidomide, hold treatment and restart  lenalidomide at the next lower dose level when toxicity has resolved to Grade 2.",
39,Table 4.5.4.3-3: Lenalidomide Dose Adjustments in Subjects with Renal Impairment,  ,
40,Table 5.1-1: Screening Procedural Outline (CA204116),,
41,Table 5.1-2: Short-term Procedural Outline (CA204116) Cycles 1 &,            ,
42,Table 5.1-3: Long-term Procedural Outline (CA204116) Cycles 3 and Beyond,                         ,
43,Table 5.4.4-1: Safety Laboratory Assessments (may be drawn up to three days prior visit),"          5.5 Efficacy Assessments Efficacy endpoints will be based on serum and urine protein electrophoresis (SPEP and UPEP),  corrected calcium (serum calcium and serum albumin), and bone marrow assessments at  predefined intervals as specified in Table 5.1-1, Table 5.1-2, and Table 5.1-3. Assessments for  SPEP and UPEP will be based on central lab results, whereas assessments of bone marrow, bone  lesions, extramedullary plasmacytomas, and corrected calcium will be based on local analysis at  the site. Serum 2 microglobulin will be performed locally at screening. If SPEP and UPEP M  protein are performed at a local laboratory, results must be recorded in the CRF/eCRF.",
44,Table 5.5.2-1: Bone marrow samples,    4) Serum corrected calcium: Serum corrected calcium should be collected with each cycle for  all subjects until disease progression.,
45,Table 5.5.4-1: IMWG Criteria for Response,         ,
46,Table 5.5.4-2: IMWG Criteria for Progression,     ,
47,Table 5.6-1: PK and ADA Sampling Schedule,        ,
48,Research Hypothesis,,1.2
49,Objectives(s),,1.3
50,Primary Objectives,"To estimate the ORR of elotuzumab + lenalidomide/dexamethasone in subjects with newly  diagnosed, previously untreated MM.",1.3.1
51,Primary Objectives,1.3.2 Secondary Objectives To estimate the difference in ORR between elotuzumab + lenalidomide/dexamethasone (ELd) and lenalidomide/dexamethasone (Ld);  To assess Progression Free Survival (PFS) in each arm.,1.3.1
52,Primary Objectives,         ,1.3.1
53,Secondary Objectives,        ,1.3.2
54,GLOSSARY OF TERMS,"Term Definition Complete Abstinence Complete Abstinence is defined as complete avoidance of  heterosexual intercourse and is an acceptable form of  contraception for all study drugs. This also means that  abstinence is the preferred and usual lifestyle of the patient.  This does not mean periodic abstinence (eg, calendar,  ovulation, symptothermal, profession of abstinence for entry  into a clinical trial, post-ovulation methods) and withdrawal,  which are not acceptable methods of contraception. Women  must continue to have pregnancy tests. Acceptable alternate  methods of highly or less effective contraceptions must be  discussed in the event that the subject chooses to forego  complete abstinence.",10
55,GLOSSARY OF TERMS,  ,10
56,LIST OF ABBREVIATIONS,"Term Definition ADA anti-durg antibodies ADCC antibody dependent cell-mediated cytotoxicity AE adverse event ALT alanine aminotransferase AST aspartate aminotransferase AUC area under the concentration-time curve AUC(INF) area under the concentration-time curve from time zero extrapolated to  infinite time AUC(0-T) area under the concentration-time curve from time zero to the time of  the last quantifiable concentration BMS Bristol-Myers Squibb BUN blood urea nitrogen CBC complete blood count CFR Code of Federal Regulations CI confidence interval CLT total body clearance Cmax maximum observed concentration Cmin trough observed concentration CR complete response CrCl creatinine clearance CRF Case Report Form, paper or electronic CS1 CD-2 subset 1 CT computerized tomography CYP cytochrome p-450 DILI drug induced liver injury DLT dose-limiting toxicity DVT deep venous thrombosis EBMT European Group for Blood and Bone Marrow Transplant ECG electrocardiogram ECOG Eastern Cooperative Oncology Group    Term Definition eCRF Electronic Case Report Form EDC Electronic Data Capture ELd elotuzumab, lenalidomide, (low-dose) dexamethasone EPO Erythropoietin FLC free light chain FSH follicle stimulating hormone GCP Good Clinical Practice G-CSF granulocyte colony-stimulating factor GM-CSF granulocyte macrophage colony stimulating factor HIV Human Immunodeficiency Virus HRT hormone replacement therapy ICH International Conference on Harmonisation IHC Immunohistochemistry IMiDs Immune Modulary Drugs IMP investigational medicinal products IMWG International Myeloma Working Group IND Investigational New Drug Exemption IRB Institutional Review Board ISS International Staging System IV intravenous Ld lenalidomide, (low-dose) dexamethasone LD lenalidomide, (high-dose) dexamethasone MGUS Monoclonal Gammopathy of Undetermined Significance MHLW Ministry of Health, Labour and Welfare MM Multiple Myeloma MPT melphalan, prednisolone, thalidomide MR minor (minimal) response MRI magnetic resonance imaging MTD maximum tolerated dose NCCN National Comprehensive Cancer Network    Term Definition NK natural killer NKT natural killer T-cell ORR objective response rate OS overall survival PBMC peripheral blood mononuclear cells PE pulmonary embolism PFS progression-free survival PK pharmacokinetics PO per os (by mouth route of administration) PR partial response PT prothrombin time PTT partial thromboplastin time QD quaque die, once daily SAE serious adverse event SCID severe combined immunodeficient SCT stem-cell transplantation SPEP serum protein electrophoresis sCR stringent complete response SOP Standard Operating Procedures SPM second primary malignancy TTP time to progression ULN upper limit of normal UPEP urine protein electrophoresis USPI United States Package Insert VGPR very good partial response WBC white blood cell WOCBP women of childbearing potential   ",11
57,REFERENCES," http://www.myeloma.org/pdfs/ConciseReview2006.pdf  Guidelines for the Treatment of Multiple Myeloma, 3rd Edition, Bunkodo, 2012  Siegel R, Ma J, Zou Z, Jemal A. Cancer statistics, 2014. CA Cancer J Clin. 2014;64:929.",12
58,REFERENCES," Harousseau, J.-L and Dreyling M. Multiple myeloma: ESMO Clinical Practice Guidelines for  Diagnosis, Treatment and Follow-up. Annals of Oncology. 2010;20 (Supplement 5):v155- v155.",12
59,REFERENCES," Jemal, A., Marray, T., Samuels, A., Tiwari, R.C., Ghafoor, A. and Thun, M.J. Cancer  Statistics. CA Cancer J Clin. 2005;55:10-50.",12
60,REFERENCES," Hsi ED, Steinle R, Balasa B, et al. CS1, a potential new therapeutic antibody target for the  treatment of multiple myeloma. Clin Cancer Res. 2008;14(9):2775-2784.",12
61,REFERENCES," Tai Y-T, Dillon M, Song W, et al. Anti-CS1 humanized monoclonal antibody HuLuc63  inhibits myeloma cell adhesion and induces antibody-dependent cellular cytotoxicity in the  bone marrow milieu. Blood 2008;112(4):1329-1337.",12
62,REFERENCES," Bouchon A, Cella M, Grierson H, et al. Activation of NK cell mediated cytotoxicity by a  SAP-independent receptor of the CD2 family. J Immunol. 2001;167(10):5517-5521.",12
63,REFERENCES," Veillette A, Guo H. CS1, a SLAM family receptor involved in immune regulation, is a  therapeutic target in multiple myeloma. Crit Rev Oncol Hematol. 2013;88(1):168-177.",12
64,REFERENCES," Quach H, Ritchie D, Stewart AK, et al. Mechanism of action of immunomodulatory drugs  (IMiDS) in multiple myeloma. Leukemia. 2010;24:22-32.",12
65,REFERENCES," Davies FE, Noopur R, Hideshima T, et al. Thalidomide and immunomodulatory derivatives  augment natural killer cell cytotoxicity in multiple myeloma. Blood. 2001;98(1):210-216.",12
66,REFERENCES," Hayashi T, Hideshima T, Akiyama M, et al. Molecular mechanisms whereby  immunomodulatory drugs activate natural killer cells: clinical application. Br J Haematol.  2005 Jan;128(2):192-203.",12
67,REFERENCES," Chuahan D, Pandey P, Ogata A, et al. Dexamethasone induces apoptosis of multiple  myeloma cells in a JNK/SAP kinase independent mechanism. Oncogene 1997;15:837-843.",12
