,Section_Name,Content,Section_Number
10,Table 4-1: BMS Supplied Study Drugs for CV185316,"Locally sourced material should be kept at appropriate storage conditions in accordance with the  package insert. BMS considers the blinded aspirin and blinded aspirin placebo to be Investigative  Product (IP) as well as the apixaban and VKA; the P2Y12 inhibitors are considered to be non-IP  study medications. For this study, apixaban/VKA and aspirin/aspirin-placebo are considered  study drugs; the required P2Y12 inhibitors are considered background medications.",
11,Table 4-1: BMS Supplied Study Drugs for CV185316,  ,
12,Table 5.1-1: Baseline and Randomization (CV185316),,
13,Table 5.1-2: Short-term Procedural Outline (CV185316),   ,
14,Table 8.1-1: Sample Size Adjustment for Non-inferiority and Superiority Test on the Primary Secondary Endpoints,   ,
15,GLOSSARY OF TERMS,Term Definition    ,10
16,LIST OF ABBREVIATIONS,"Term Definition AE adverse event ACS acute coronary syndrome ALT alanine aminotransferase ANOVA analysis of variance aPTT activated partial thromboplastin time AST aspartate aminotransferase AT aminotransaminases -HCG beta-human chorionic gonadotrophin BID, bid bis in die, twice daily BMS Bristol-Myers Squibb BP blood pressure BUN blood urea nitrogen C Celsius CBC complete blood count CABG Coronary arterial bypass graft CFR Code of Federal Regulations CI confidence interval C1- chloride CLcr creatinine clearance CLR renal clearance cm centimeter CNS Central nervous system CRC Clinical Research Center CRF Case Report Form, paper or electronic CRNM Clinically Relevant Non-major CYP cytochrome p-450 D/C discontinue DAPT Dual antiplatelet therapy dL deciliter    Term Definition DMC Data Monitoring Committee ECG electrocardiogram eCRF Electronic Case Report Form EDC Electronic Data Capture eg exempli gratia (for example) ESR Expedited Safety Report FDA Food and Drug Administration FSH follicle stimulating hormone g gram GCP Good Clinical Practice GGT gamma-glutamyl transferase GFR glomerular filtration rate h hour HR heart rate HRT hormone replacement therapy IB Investigator Brochure ICH International Conference on Harmonisation IMP investigational medicinal products INR International Normalization Ratio IRB Institutional Review Board ISTH International Society on Thrombosis and Haemostasis IU International Unit IV intravenous kg kilogram L liter LMWH Low Molecular Weight Heparin LDH lactate dehydrogenase mg milligram Mg++ magnesium min minute mL milliliter    Term Definition mmHg millimeters of mercury g microgram N number of subjects or observations N/A not applicable NI Non-inferiority NIMP non-investigational medicinal products NSAID nonsteroidal anti-inflammatory drug NVAF Non-valvular atrial fibrillation NSTEMI Non-ST Elevation Myocardial Infarction PCI Percutaneous coronary intervention PO per os (by mouth route of administration) PT prothrombin time PTT partial thromboplastin time QD, qd quaque die, once daily RBC red blood cell SAE serious adverse event SD standard deviation SOP Standard Operating Procedures STEMI ST-elevation myocardial infarction T time T-HALF Half life UFH Unfractionated Heparin VKA Vitamin K antagonist WBC white blood cell WHO World Health Organization WOCBP women of childbearing potential ",11
17,ETHICAL CONSIDERATIONS,,2
18,Good Clinical Practice,"This study will be conducted in accordance with Good Clinical Practice (GCP), as defined by the  International Conference on Harmonisation (ICH) and in accordance with the ethical principles  underlying European Union Directive 2001/20/EC and the United States Code of Federal  Regulations, Title 21, Part 50 (21CFR50).",2.1
19,Good Clinical Practice,The study will be conducted in compliance with the protocol. The protocol and any amendments  and the subject informed consent will receive Institutional Review Board/Independent Ethics  Committee (IRB/IEC) approval/favorable opinion prior to initiation of the study.,2.1
20,Good Clinical Practice,"All potential serious breaches must be reported to BMS immediately. A serious breach is a  breach of the conditions and principles of GCP in connection with the study or the protocol,  which is likely to affect, to a significant degree, the safety or physical or mental integrity of the  subjects of the study or the scientific value of the study.",2.1
21,Good Clinical Practice,"   Personnel involved in conducting this study will be qualified by education, training, and  experience to perform their respective tasks.",2.1
22,Good Clinical Practice,"This study will not use the services of study personnel where sanctions have been invoked or  where there has been scientific misconduct or fraud (eg, loss of medical licensure, debarment).",2.1
23,Institutional Review Board/Independent Ethics Committee,"Before study initiation, the investigator must have written and dated approval/favorable opinion  from the IRB/IEC for the protocol, consent form, subject recruitment materials  (eg, advertisements), and any other written information to be provided to subjects. The  investigator or BMS should also provide the IRB/IEC with a copy of the Investigator Brochure  or product labeling information to be provided to subjects and any updates.",2.2
24,Institutional Review Board/Independent Ethics Committee,"The investigator or BMS should provide the IRB/IEC with reports, updates and other  information (eg, expedited safety reports, amendments, and administrative letters) according to  regulatory requirements or institution procedures.",2.2
25,Informed Consent,"Investigators must ensure that subjects are clearly and fully informed about the purpose, potential  risks, and other critical issues regarding clinical studies in which they volunteer to participate.",2.3
26,Informed Consent,"In situations where consent cannot be given to subjects, their legally acceptable representatives  (as per country guidelines) are clearly and fully informed about the purpose, potential risks, and  other critical issues regarding clinical studies in which the subject volunteers to participate.",2.3
27,Informed Consent,"BMS will provide the investigator with an appropriate (ie, Global or Local) sample informed  consent form which will include all elements required by ICH, GCP and applicable regulatory  requirements. The sample informed consent form will adhere to the ethical principles that have  their origin in the Declaration of Helsinki.",2.3
28,Informed Consent,"Investigators must: 1) Provide a copy of the consent form and written information about the study in the language  in which the subject is most proficient prior to clinical study participation. The language  must be non-technical and easily understood.  2) Allow time necessary for subject or subject's legally acceptable representative to inquire  about the details of the study. 3) Obtain an informed consent signed and personally dated by the subject or the subject's  legally acceptable representative and by the person who conducted the informed consent  discussion.  4) Obtain the IRB/IECs written approval/favorable opinion of the written informed consent  form and any other information to be provided to the subjects, prior to the beginning of the  study, and after any revisions are completed for new information.",2.3
29,Informed Consent,"   5) If informed consent is initially given by a subjects legally acceptable representative or legal  guardian, and the subject subsequently becomes capable of making and communicating his  or her informed consent during the study, consent must additionally be obtained from the  subject. 6) Revise the informed consent whenever important new information becomes available that is  relevant to the subject's consent. The investigator, or a person designated by the investigator,  should fully inform the subject or the subject's legally acceptable representative or legal  guardian, of all pertinent aspects of the study and of any new information relevant to the  subject's willingness to continue participation in the study. This communication should be  documented.",2.3
30,Informed Consent,"The confidentiality of records that could identify subjects must be protected, respecting the  privacy and confidentiality rules applicable to regulatory requirements, the subjects' signed ICF  and, in the US, the subjects signed HIPAA Authorization.",2.3
31,Informed Consent,The consent form must also include a statement that BMS and regulatory authorities have direct  access to subject records.,2.3
32,Informed Consent,"The rights, safety, and well-being of the study subjects are the most important considerations and  should prevail over interests of science and society.",2.3
33,INVESTIGATIONAL PLAN,,3
34,Study Design and Duration,"Patients with a recent ACS and/or undergoing PCI for another indication with either active or a  history of NVAF and planned treatment with P2Y12 agent and oral anticoagulation for at least  six months will ideally be evaluated for eligibility during their ACS or PCI hospitalization.  Randomization can be performed up to 14 days after the ACS or PCI and should take place as early as possible after cessation of parenteral anticoagulant and when clinically stable. Both  patients with and without prior VKA treatment can be included in this trial. Patients who are on a  VKA prior to randomization will have VKA discontinued and will not be dosed with apixaban  until the INR is less than 2.0. (Please refer to your countrys approved label language for  apixaban and VKA.)At the time of enrollment, each patient who meets inclusion/exclusion  criteria will be randomized via IVRS using a 2 x 2 factorial design to either apixaban or VKA and to either aspirin or aspirin placebo. Randomization will be stratified by indication at  enrollment (ACS vs PCI). Overall, the trial will include approximately 1/3 of patients with a  recent ACS.",3.1
35,Study Design and Duration,"Approximately 690 sites will participate in this study, which will be conducted globally,  including participation of countries located in North America, Europe, Asia and Latin America.",3.1
36,Study Design and Duration,The study design schematic is presented in Figure 3.1-1 .,3.1
37,Study Design and Duration,  ,3.1
38,Post Study Access to Therapy,At the end of the trial (6 months) patients will be treated according to local standards of care.,3.2
39,Post Study Access to Therapy,"   Patients will be contacted by telephone 30 days +/- 7 days after the end of treatment study visit  for additional follow-up. At this contact, bleeding, death/ischemic events, antithrombotic therapy  and INR values will be assessed.",3.2
40,Post Study Access to Therapy,"At the end of the study, BMS will not continue to provide BMS supplied study drug to  subjects/investigators unless BMS chooses to extend the study. The investigator should ensure  that the subject receives appropriate standard of care to treat the condition under study.",3.2
41,Post Study Access to Therapy,"As the oral anticoagulant is not blinded, investigators will be free to choose at the end of the  study whether to continue the apixaban or VKA, or transition to alternative agents. Patients  transitioning from apixaban to vitamin K antagonists should have frequent INR tests during the  first few weeks of transition, as per local standards. Furthermore, investigators will not be  routinely provided blinded aspirin/aspirin placebo assignments until after the final study results  are made public.",3.2
42,Study Population,,3.3
43,Inclusion Criteria,1. Signed Written Informed Consent a) Subjects will be required to provide a written informed consent.,3.3.1
44,Inclusion Criteria,"2. Target Population a) Males and females 18 years of age (or age of majority) or older with either active or a  history of non-valvular atrial fibrillation or flutter with the planned or existing use of an  oral anticoagulant for prophylaxis of thromboembolism for at least 6 months AND b) An acute coronary syndrome (ST-elevation myocardial infarction [STEMI], non-ST- elevation myocardial infarction [NSTEMI], or unstable angina), within the prior 14 days,  with planned use of an approved P2Y12 inhibitor for at least 6 months AND/OR c) PCI (with or without stents) within the prior 14 days with planned use of an approved  P2Y12 inhibitor for at least 6 months.",3.3.1
45,Inclusion Criteria,"( If both an ACS event and an elective PCI occur within the same 14 day period, the  investigator has the option to define the index event for the randomization to the  interactive voice/web response system. It is recommended to choose the most recent  event as the index event. However, for the electronic case report form, if a patient  has both an ACS and PCI within 14 days, both events can be selected. ) 3. Subject Re-enrollment: a) This study does permit the re-enrollment of a subject that has discontinued the study as a  pre-treatment failure (screen failure).",3.3.1
46,Inclusion Criteria,   4. Age and Reproductive Status a) Women of childbearing potential (WOCBP) must have a negative serum or urine  pregnancy test (minimum sensitivity 25 IU/L or equivalent units of HCG) within  24 hours prior to the start of study drug.,3.3.1
47,Inclusion Criteria,b) Women must not be breastfeeding c) WOCBP must agree to use effective contraception for the duration of treatment with  study drugs plus i. 33 days for patients on apixaban ii. 40 days for patients on VKA d) Azoospermic males and WOCBP who are continuously not heterosexually active are  exempt from contraceptive requirements. However they must still undergo pregnancy  testing as described in this section.,3.3.1
48,Inclusion Criteria,"Investigators shall counsel WOCBP and male subjects who are sexually active with WOCBP on  the importance of pregnancy prevention and the implications of an unexpected pregnancy  Investigators shall advise WOCBP and male subjects who are sexually active with WOCBP on  the use of highly effective methods of contraception. Highly effective methods of contraception  have a failure rate of < 1% when used consistently and correctly. In addition, subjects and their  partners should utilize two methods of contraception, such as a barrier method and hormonal  method, especially for subjects randomized to VKA.",3.3.1
49,Exclusion Criteria,"1. Target Disease Exceptions a) Conditions other than non-valvular atrial fibrillation that require chronic anticoagulation  (eg, mechanical heart valve) 2. Medical History and Concurrent Diseases a) Severe renal insufficiency (serum creatinine > 2.5 mg/dL [221 micromol/L] or a  calculated creatinine clearance < 30 mL/min b) Patients with any history of intracranial hemorrhage c) Any contraindications to VKA, apixaban, or to intended P2Y12 antagonists or to aspirin d) Patients who have or will undergo coronary arterial bypass graft (CABG) for their index  ACS event e) Women who are pregnant, breastfeeding, or of childbearing potential and unable to use  an acceptable method of birth control 3. Physical and Laboratory Test Findings a) Patients with known ongoing bleeding b) Patients with known coagulopathies    4. Allergies and Adverse Drug Reaction a) Known allergies or sensitivities to apixaban, VKA, aspirin, or to intended P2Y12  antagonist.",3.3.2
50,Exclusion Criteria,"5. Other Exclusion Criteria a) Prisoners or subjects who are involuntarily incarcerated b) Subjects who are compulsorily detained for treatment of either a psychiatric or physical  (eg, infectious disease) illness c) Subjects who would have compromised ability to comply with study therapy or follow up  visits d) Subjects who are participating in other interventional clinical trials of other drugs or  unapproved devices.",3.3.2
51,Exclusion Criteria,"6. Current employees of Pfizer, Bristol-Myers Squibb, or PPD are excluded from  participation, as well as their spouses and dependent children.",3.3.2
52,Exclusion Criteria,Eligibility criteria for this study have been carefully considered to ensure the safety of the study  subjects and that the results of the study can be used. It is imperative that subjects fully meet all  inclusion criteria and no exclusion criteria.,3.3.2
53,Women of Childbearing Potential,"A Women of childbearing potential (WOCBP) is defined as any female who has experienced  menarche and who has not undergone surgical sterilization (hysterectomy or bilateral  oophorectomy) and is not postmenopausal. Menopause is defined as 12 months of amenorrhea in  a woman over age 45 years in the absence of other biological or physiological causes. In  addition, females under the age of 55 years must have a serum follicle stimulating hormone,  (FSH) level > 40mIU/mL to confirm menopause.",3.3.3
54,Women of Childbearing Potential,"Females treated with hormone replacement therapy, (HRT) are likely to have artificially  suppressed FSH levels and may require a washout period in order to obtain a physiologic FSH  level. The duration of the washout period is a function of the type of HRT used. The duration of  the washout period below are suggested guidelines and the investigators should use their  judgement in checking serum FSH levels. If the serum FSH level is > 40 mIU/ml at any time  during the washout period, the woman can be considered postmenopausal: 1 week minimum for vaginal hormonal products (rings, creams, gels)  4 week minimum for transdermal products  8 week minimum for oral products Other parenteral products may require washout periods as long as 6 months.",3.3.3
55,Women of Childbearing Potential,  ,3.3.3
56,Concomitant Treatments,,3.4
57,Prohibited and/or Restricted Treatments,,3.4.1
58,Pre-Randomization Concomitant Medication,,3.4.2
59,Discontinuation of Subjects following any Treatment with Study Drug,"Subjects MUST discontinue investigational product (and non-investigational product at the  discretion of the investigator) for any of the following reasons: Subjects request to stop study treatment  Any clinical adverse event (AE), laboratory abnormality or intercurrent illness which, in the  opinion of the investigator, indicates that continued participation in the study is not in the  best interest of the subject  Termination of the study by Bristol-Myers Squibb (BMS)  Loss of ability to freely provide consent through imprisonment or involuntarily incarceration  for treatment of either a psychiatric or physical (eg, infectious disease) illness.",3.5
60,Discontinuation of Subjects following any Treatment with Study Drug,"In the case of pregnancy, the investigator must immediately notify the BMS Medical  Monitor/designee of this event. In most cases, the study drug will be permanently discontinued in  an appropriate manner. If the investigator determines a possible favorable benefit/risk ratio that  warrants continuation of study drug, a discussion between the investigator and the BMS Medical  Monitor/designee must occur.",3.5
61,Discontinuation of Subjects following any Treatment with Study Drug,"All subjects who discontinue study drug will be contacted by telephone 30 days +/- 7 days after  the end of study visit as detailed in Section 3.2 and Table 5.1-2 . The only exception to this  requirement is when a subject withdraws consent for all study procedures including  post-treatment study follow-up or loses the ability to consent freely (ie, is imprisoned or  involuntarily incarcerated for the treatment of either a psychiatric or physical illness).",3.5
62,Discontinuation of Subjects following any Treatment with Study Drug,"If study drug is discontinued prior to the subjects completion of the study, the reason for the  discontinuation must be documented in the subjects medical records and entered on the  appropriate case report form (CRF) page.",3.5
63,Post Study Drug Follow up,"In this study, bleeding is a key endpoint of the study. Post study follow-up is of critical  importance and is essential to preserving subject safety and the integrity of the study. Subjects    who discontinue study drug must continue to be followed for collection of outcome and/or  survival follow-up data as required and in line with Section 5 until death or the conclusion of the  study.",3.6
64,Withdrawal of Consent,,3.6.1
65,Lost to Follow-Up,"All reasonable efforts must be made to locate subjects to determine and report their ongoing  status. This includes follow-up with persons authorized by the subject as noted above. Lost to  follow-up is defined by the inability to reach the subject after a minimum of three documented  phone calls, faxes, or emails as well as lack of response by subject to one registered mail letter.  All attempts should be documented in the subjects medical records. If it is determined that the  subject has died, the site will use permissible local methods to obtain the date and cause of death.",3.6.2
66,Lost to Follow-Up,"If investigators use of third-party representative to assist in the follow-up portion of the study  has been included in the subjects informed consent, then the investigator may use a  Sponsor-retained third-party representative to assist site staff with obtaining subjects contact  information or other public vital status data necessary to complete the follow-up portion of the  study. The site staff and representative will consult publicly available sources, such as public  health registries and databases, in order to obtain updated contact information. If after all  attempts, the subject remains lost to follow-up, then the last known alive date as determined by  the investigator should be reported and documented in the subjects medical records.",3.6.2
67,Lost to Follow-Up,"Even after multiple unsuccessful contact attempts, no subject should be considered truly lost to  follow-up until the final conclusion of the CV185316 study, as subjects may unexpectedly  present themselves well after their scheduled final visit.",3.6.2
68,STUDY DRUG,Study drug includes both Investigational [Medicinal] Product (IP/IMP) and Non-investigational  [Medicinal] Product (Non-IP/Non-IMP) and can consist of the following:   ,4
69,Investigational Product,"An investigational product, also known as investigational medicinal product in some regions, is  defined as a pharmaceutical form of an active substance or placebo being tested or used as a  reference in a clinical study, including products already with a marketing authorization but used  or assembled (formulated or packaged) differently than the authorized form, or used for an  unauthorized indication, or when used to gain further information about the authorized form.",4.1
70,Investigational Product,"The investigational product should be stored in a secure area according to local regulations. It is  the responsibility of the investigator to ensure that investigational product is only dispensed to  study subjects. The investigational product must be dispensed only from official study sites by  authorized personnel according to local regulations. In this study, apixaban 2.5 mg and 5 mg  tablets, as well as the aspirin 81 mg tablets, aspirin placebo, and VKA are considered  investigational product.",4.1
71,Non-investigational Product,,4.2
72,Storage of Study Drug,"The product storage manager should ensure that the study drug is stored in accordance with the  environmental conditions (temperature, light, and humidity) as determined by BMS. If concerns  regarding the quality or appearance of the study drug arise, the study drug should not be  dispensed and contact BMS immediately.",4.3
73,Storage of Study Drug,Study drug not supplied by BMS will be stored in accordance with the package insert.,4.3
74,Storage of Study Drug,Please refer to Section 9.2.2 for guidance on IP records and documentation.,4.3
75,Method of Assigning Subject Identification,"At the time of enrollment, each subject will be assigned a unique sequential subject number by  IVRS. The IVRS will be available 24 hours per day, seven days a week. The subject number will  consist of a unique 5 digit number which is assigned sequentially within a study (starting with  00001) by the IVRS. This number will be used for identification throughout the study and will  not be used for any other subject.",4.4
76,Method of Assigning Subject Identification,"Each subject who meets the inclusion/exclusion criteria will be randomly assigned to one of the  two open label treatment groups: apixaban or VKA, with each treatment arm having an  allocation probability of a half (0.50). At the same time, subjects will be randomly assigned in a  blinded fashion to aspirin or matching placebo.",4.4
77,Method of Assigning Subject Identification,The randomization will be stratified by indication at enrollment (PCI/ACS).,4.4
78,Method of Assigning Subject Identification,  ,4.4
79,Selection and Timing of Dose for Each Subject,"Subjects randomized to apixaban will be dosed at 5 mg bid, unless they meet at least two of the  following criteria for dose reduction to 2.5 mg BID: Age 80 years  Weight 60 kg  Serum creatinine 1.5 mg/dL (133 micromol/L) Subjects randomized to apixaban may have their dosages increased or decreased during the 6  month treatment period if at least two of the three above criteria change during the study.",4.5
80,Selection and Timing of Dose for Each Subject,Subjects randomized to VKA should be titrated up for an INR target goal of 2.0 to 3.0. Dosages  of VKA to achieve that range should be per local standards of care and per investigator clinical  judgment.,4.5
81,Selection and Timing of Dose for Each Subject,Both the oral anticoagulant (apixaban or VKA) and the antiplatelet agents (blinded aspirin once  daily or blinded placebo once daily) must be started within 24 hours of randomization.,4.5
82,Blinding/Unblinding,Apixaban or VKA will be open-label. This section will not apply to those agents.,4.6
83,Blinding/Unblinding,"Aspirin (or matching placebo) will be double blinded. Requests for emergency unblinding for  patient, only, should be made by the investigator(s) to the designated regional medical monitor  or, if that person cannot be contacted, to the global medical monitor.",4.6
84,Treatment Compliance,,4.7
85,Destruction or Return of Investigational Product,"For this study, IP (those supplied by BMS, a vendor, or sourced by the investigator) such as  partially used study drug containers may be destroyed on site.",4.8
86,Destruction or Return of Investigational Product,"    It is the investigators or designees responsibility to arrange for disposal, provided that  procedures for proper disposal have been established according to applicable federal, state, local,  and institutional guidelines and procedures, and provided that appropriate records of disposal are  kept.",4.8
87,Destruction or Return of Investigational Product,"The following minimal standards must be met: On-site disposal practices must not expose humans to risks from the drug  On-site disposal practices and procedures are in agreement with applicable laws and  regulations, including any special requirements for controlled or hazardous substances  Written procedures for on-site disposal are available and followed. The procedures must be  filed with the sites SOPs and a copy provided to BMS upon request  Records are maintained that allow for traceability of each container, including the date  disposed of, quantity disposed, and identification of the person disposing the containers. The  method of disposal, ie, incinerator, licensed sanitary landfill, or licensed waste disposal  vendor must be documented  Accountability and disposal records are complete, up-to-date, and available for the Monitor  to review throughout the clinical trial period It is the investigators or designees responsibility to arrange for disposal of all empty containers.",4.8
88,Destruction or Return of Investigational Product,"If conditions for destruction cannot be met the responsible Study Monitor will make  arrangements for return of IP provided by BMS (or its vendors). Destruction of non-IP sourced  by the site, not supplied by BMS, is solely the responsibility of the investigator or designee.",4.8
89,Destruction or Return of Investigational Product,"For this study, IP (those supplied by BMS or its vendors such as full or partially used study drug  containers, vials, syringes) cannot be destroyed on-site. It is, however, the investigators or  designees responsibility to arrange for disposal of all empty IP containers, provided that  procedures for proper disposal have been established according to applicable federal, state, local,  and institutional guidelines and procedures, and provided that appropriate records of disposal are  kept. The return of full or partially used IP supplied by BMS or its vendors will be arranged by  the responsible Study Monitor.",4.8
90,Destruction or Return of Investigational Product,"For subjects where the IP is not directly supplied by BMS (e.g., commercially-sourced apixaban  or VKA dispensed from a pharmacy by a physicians prescription), leftover medication after the  6 month treatment period does not need to be returned to the site.",4.8
91,Destruction or Return of Investigational Product,"   For subjects where the IP is directly supplied by BMS or one of its vendors, the site obligation is  to request the subject to return the medication to the site; it is the subject responsibility, not the  sites, to comply.",4.8
92,Destruction or Return of Investigational Product,Please refer to Section 9.2.2 for additional guidance on IP records and documentation.,4.8
93,Retained Samples for Bioavailability / Bioequivalence,Not Applicable.,4.9
94,Retained Samples for Bioavailability / Bioequivalence,  ,4.9
95,STUDY ASSESSMENTS AND PROCEDURES,,5
96,Flow Chart/Time and Events Schedule,,5.1
97,Retesting During Screening Period,Retesting of laboratory parameters and/or other assessments within any single Screening period  will be permitted (in addition to any parameters that require a confirmatory value).,5.1.1
98,Retesting During Screening Period,"Any new result will override the previous result (ie, the most current result prior to  Randomization) and is the value by which study inclusion will be assessed, as it represents the  subjects most current, clinical state.",5.1.1
99,Study Materials,Urine pregnancy kits (for WOCBP only)  Patient education materials and site support tools  Patient reminder cards (optional) to be used for helping patients remember to take their study  medications.,5.2
100,Study Materials,"5.3 Safety Assessments No specific safety assessments other than the laboratory tests, clinical assessments of bleeding  episodes, AEs/SAEs indicated in Table 5.1-1 and Table 5.1-2 , are required.",5.2
101,Safety Assessments,  ,5.3
102,Imaging Assessment for the Study,No radiological assessments are mandated.,5.3.1
103,Imaging Assessment for the Study,5.4 Efficacy Assessments No specific efficacy assessments are mandated. Clinical judgment should be executed in  evaluating what diagnostics and tests to order to assess the studys efficacy endpoints. These  suspected endpoints should be documented in the appropriate sections of the electronic case  report form.,5.3.1
104,Efficacy Assessments,          ,5.4
105,Pharmacokinetic Assessments,,5.5
106,Outcomes Research Assessments,,5.7
107,Other Assessments,,5.8
108,ADVERSE EVENTS,"An Adverse Event (AE) is defined as any new untoward medical occurrence or worsening of a  preexisting medical condition in a clinical investigation subject administered study drug and that  does not necessarily have a causal relationship with this treatment. An AE can therefore be any  unfavorable and unintended sign (such as an abnormal laboratory finding), symptom, or disease    temporally associated with the use of study drug, whether or not considered related to the study  drug.",6
